match,group,matchup,pick
1,A,Mexico v South Africa,South Africa
2,A,South Korea v Czech Republic,Draw
3,B,Canada v Bosnia and Herzegovina,Bosnia and Herzegovina
4,D,United States v Paraguay,United States
5,C,Haiti v Scotland,Haiti
6,D,Australia v Turkey,Draw
7,C,Brazil v Morocco,Morocco
8,B,Qatar v Switzerland,Draw
9,E,Ivory Coast v Ecuador,Ecuador
10,E,Germany v Curaçao,Curaçao
11,F,Netherlands v Japan,Netherlands
12,F,Sweden v Tunisia,Tunisia
13,H,Saudi Arabia v Uruguay,Uruguay
14,H,Spain v Cape Verde,Draw
15,G,Iran v New Zealand,Draw
16,G,Belgium v Egypt,Egypt
17,I,France v Senegal,France
18,I,Iraq v Norway,Draw
19,J,Argentina v Algeria,Draw
20,J,Austria v Jordan,Austria
21,L,Ghana v Panama,Draw
22,L,England v Croatia,Croatia
23,K,Portugal v DR Congo,DR Congo
24,K,Uzbekistan v Colombia,Colombia
25,A,Czech Republic v South Africa,Draw
26,B,Switzerland v Bosnia and Herzegovina,Draw
27,B,Canada v Qatar,Draw
28,A,Mexico v South Korea,Draw
29,C,Brazil v Haiti,Haiti
30,C,Scotland v Morocco,Scotland
31,D,Turkey v Paraguay,Paraguay
32,D,United States v Australia,Draw
33,E,Germany v Ivory Coast,Ivory Coast
34,E,Ecuador v Curaçao,Ecuador
35,F,Netherlands v Sweden,Sweden
36,F,Tunisia v Japan,Tunisia
37,H,Uruguay v Cape Verde,Draw
38,H,Spain v Saudi Arabia,Saudi Arabia
39,G,Belgium v Iran,Iran
40,G,New Zealand v Egypt,Egypt
41,I,Norway v Senegal,Senegal
42,I,France v Iraq,Draw
43,J,Argentina v Austria,Argentina
44,J,Jordan v Algeria,Jordan
45,L,England v Ghana,Ghana
46,L,Panama v Croatia,Draw
47,K,Portugal v Uzbekistan,Portugal
48,K,Colombia v DR Congo,Colombia
49,C,Scotland v Brazil,Scotland
50,C,Morocco v Haiti,Morocco
51,B,Switzerland v Canada,Switzerland
52,B,Bosnia and Herzegovina v Qatar,Bosnia and Herzegovina
53,A,Czech Republic v Mexico,Draw
54,A,South Africa v South Korea,South Korea
55,E,Curaçao v Ivory Coast,Curaçao
56,E,Ecuador v Germany,Draw
57,F,Japan v Sweden,Draw
58,F,Tunisia v Netherlands,Netherlands
59,D,Turkey v United States,United States
60,D,Paraguay v Australia,Paraguay
61,I,Norway v France,France
62,I,Senegal v Iraq,Iraq
63,G,Egypt v Iran,Draw
64,G,New Zealand v Belgium,Draw
65,H,Cape Verde v Saudi Arabia,Draw
66,H,Uruguay v Spain,Uruguay
67,L,Panama v England,Panama
68,L,Croatia v Ghana,Ghana
69,J,Algeria v Austria,Austria
70,J,Jordan v Argentina,Jordan
71,K,Colombia v Portugal,Colombia
72,K,DR Congo v Uzbekistan,Draw
