match,group,matchup,pick
1,A,Mexico v South Africa,Draw
2,A,South Korea v Czech Republic,Czech Republic
3,B,Canada v Bosnia and Herzegovina,Canada
4,D,United States v Paraguay,Paraguay
5,C,Haiti v Scotland,Scotland
6,D,Australia v Turkey,Draw
7,C,Brazil v Morocco,Morocco
8,B,Qatar v Switzerland,Qatar
9,E,Ivory Coast v Ecuador,Draw
10,E,Germany v Curaçao,Germany
11,F,Netherlands v Japan,Netherlands
12,F,Sweden v Tunisia,Draw
13,H,Saudi Arabia v Uruguay,Uruguay
14,H,Spain v Cape Verde,Spain
15,G,Iran v New Zealand,Draw
16,G,Belgium v Egypt,Egypt
17,I,France v Senegal,Senegal
18,I,Iraq v Norway,Draw
19,J,Argentina v Algeria,Argentina
20,J,Austria v Jordan,Draw
21,L,Ghana v Panama,Ghana
22,L,England v Croatia,England
23,K,Portugal v DR Congo,Draw
24,K,Uzbekistan v Colombia,Uzbekistan
25,A,Czech Republic v South Africa,Czech Republic
26,B,Switzerland v Bosnia and Herzegovina,Switzerland
27,B,Canada v Qatar,Canada
28,A,Mexico v South Korea,South Korea
29,C,Brazil v Haiti,Haiti
30,C,Scotland v Morocco,Draw
31,D,Turkey v Paraguay,Turkey
32,D,United States v Australia,United States
33,E,Germany v Ivory Coast,Germany
34,E,Ecuador v Curaçao,Draw
35,F,Netherlands v Sweden,Draw
36,F,Tunisia v Japan,Draw
37,H,Uruguay v Cape Verde,Draw
38,H,Spain v Saudi Arabia,Saudi Arabia
39,G,Belgium v Iran,Draw
40,G,New Zealand v Egypt,Egypt
41,I,Norway v Senegal,Senegal
42,I,France v Iraq,France
43,J,Argentina v Austria,Austria
44,J,Jordan v Algeria,Jordan
45,L,England v Ghana,England
46,L,Panama v Croatia,Draw
47,K,Portugal v Uzbekistan,Portugal
48,K,Colombia v DR Congo,Colombia
49,C,Scotland v Brazil,Scotland
50,C,Morocco v Haiti,Draw
51,B,Switzerland v Canada,Switzerland
52,B,Bosnia and Herzegovina v Qatar,Qatar
53,A,Czech Republic v Mexico,Mexico
54,A,South Africa v South Korea,South Africa
55,E,Curaçao v Ivory Coast,Curaçao
56,E,Ecuador v Germany,Ecuador
57,F,Japan v Sweden,Japan
58,F,Tunisia v Netherlands,Draw
59,D,Turkey v United States,Draw
60,D,Paraguay v Australia,Paraguay
61,I,Norway v France,Norway
62,I,Senegal v Iraq,Senegal
63,G,Egypt v Iran,Iran
64,G,New Zealand v Belgium,Draw
65,H,Cape Verde v Saudi Arabia,Saudi Arabia
66,H,Uruguay v Spain,Uruguay
67,L,Panama v England,Panama
68,L,Croatia v Ghana,Draw
69,J,Algeria v Austria,Draw
70,J,Jordan v Argentina,Draw
71,K,Colombia v Portugal,Draw
72,K,DR Congo v Uzbekistan,Uzbekistan
