match,group,matchup,pick
1,A,Mexico v South Africa,Draw
2,A,South Korea v Czech Republic,South Korea
3,B,Canada v Bosnia and Herzegovina,Canada
4,D,United States v Paraguay,Paraguay
5,C,Haiti v Scotland,Haiti
6,D,Australia v Turkey,Turkey
7,C,Brazil v Morocco,Brazil
8,B,Qatar v Switzerland,Draw
9,E,Ivory Coast v Ecuador,Ivory Coast
10,E,Germany v Curaçao,Draw
11,F,Netherlands v Japan,Netherlands
12,F,Sweden v Tunisia,Tunisia
13,H,Saudi Arabia v Uruguay,Draw
14,H,Spain v Cape Verde,Cape Verde
15,G,Iran v New Zealand,Iran
16,G,Belgium v Egypt,Egypt
17,I,France v Senegal,Draw
18,I,Iraq v Norway,Norway
19,J,Argentina v Algeria,Algeria
20,J,Austria v Jordan,Jordan
21,L,Ghana v Panama,Ghana
22,L,England v Croatia,Croatia
23,K,Portugal v DR Congo,Draw
24,K,Uzbekistan v Colombia,Uzbekistan
25,A,Czech Republic v South Africa,South Africa
26,B,Switzerland v Bosnia and Herzegovina,Bosnia and Herzegovina
27,B,Canada v Qatar,Draw
28,A,Mexico v South Korea,Draw
29,C,Brazil v Haiti,Brazil
30,C,Scotland v Morocco,Draw
31,D,Turkey v Paraguay,Draw
32,D,United States v Australia,Draw
33,E,Germany v Ivory Coast,Ivory Coast
34,E,Ecuador v Curaçao,Ecuador
35,F,Netherlands v Sweden,Draw
36,F,Tunisia v Japan,Draw
37,H,Uruguay v Cape Verde,Cape Verde
38,H,Spain v Saudi Arabia,Saudi Arabia
39,G,Belgium v Iran,Belgium
40,G,New Zealand v Egypt,New Zealand
41,I,Norway v Senegal,Senegal
42,I,France v Iraq,France
43,J,Argentina v Austria,Draw
44,J,Jordan v Algeria,Jordan
45,L,England v Ghana,Ghana
46,L,Panama v Croatia,Panama
47,K,Portugal v Uzbekistan,Draw
48,K,Colombia v DR Congo,Colombia
49,C,Scotland v Brazil,Scotland
50,C,Morocco v Haiti,Draw
51,B,Switzerland v Canada,Draw
52,B,Bosnia and Herzegovina v Qatar,Draw
53,A,Czech Republic v Mexico,Draw
54,A,South Africa v South Korea,South Korea
55,E,Curaçao v Ivory Coast,Draw
56,E,Ecuador v Germany,Ecuador
57,F,Japan v Sweden,Sweden
58,F,Tunisia v Netherlands,Netherlands
59,D,Turkey v United States,Draw
60,D,Paraguay v Australia,Australia
61,I,Norway v France,Draw
62,I,Senegal v Iraq,Draw
63,G,Egypt v Iran,Draw
64,G,New Zealand v Belgium,Draw
65,H,Cape Verde v Saudi Arabia,Draw
66,H,Uruguay v Spain,Uruguay
67,L,Panama v England,England
68,L,Croatia v Ghana,Croatia
69,J,Algeria v Austria,Austria
70,J,Jordan v Argentina,Draw
71,K,Colombia v Portugal,Draw
72,K,DR Congo v Uzbekistan,Draw
