match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Spain
76,R32,Germany v Switzerland,Germany
77,R32,Argentina v Mexico,Mexico
78,R32,Netherlands v Senegal,Senegal
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,Belgium
82,R32,Croatia v Japan,Croatia
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Egypt
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Australia
89,R16,Norway v Mexico,Mexico
90,R16,Brazil v Spain,Spain
91,R16,Germany v Senegal,Germany
92,R16,Ivory Coast v Portugal,Portugal
93,R16,South Korea v Egypt,South Korea
94,R16,Belgium v Croatia,Croatia
95,R16,Austria v Australia,Australia
96,R16,Canada v Ghana,Ghana
97,QF,Mexico v Spain,Spain
98,QF,South Korea v Croatia,Croatia
99,QF,Germany v Portugal,Germany
100,QF,Australia v Ghana,Australia
101,SF,Spain v Croatia,Spain
102,SF,Germany v Australia,Australia
103,3rd,Croatia v Germany,Germany
104,Final,Spain v Australia,Spain
