match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Mexico
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,United States
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Egypt
85,R32,Turkey v Canada,Turkey
86,R32,Austria v Sweden,Austria
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Australia
89,R16,Norway v Mexico,Mexico
90,R16,Brazil v Ecuador,Brazil
91,R16,Switzerland v Netherlands,Netherlands
92,R16,Ivory Coast v Portugal,Portugal
93,R16,South Korea v Egypt,Egypt
94,R16,United States v Japan,Japan
95,R16,Austria v Australia,Australia
96,R16,Turkey v Ghana,Turkey
97,QF,Mexico v Brazil,Mexico
98,QF,Egypt v Japan,Egypt
99,QF,Netherlands v Portugal,Portugal
100,QF,Australia v Turkey,Turkey
101,SF,Mexico v Egypt,Egypt
102,SF,Portugal v Turkey,Portugal
103,3rd,Mexico v Turkey,Turkey
104,Final,Egypt v Portugal,Egypt
