match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Spain
76,R32,Germany v Switzerland,Switzerland
77,R32,Argentina v Mexico,Mexico
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,England
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,Belgium
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,Saudi Arabia
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Sweden
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Australia
89,R16,Norway v Mexico,Norway
90,R16,Brazil v Spain,Spain
91,R16,Switzerland v Netherlands,Netherlands
92,R16,England v Portugal,Portugal
93,R16,Saudi Arabia v Uruguay,Saudi Arabia
94,R16,Belgium v Japan,Belgium
95,R16,Sweden v Australia,Sweden
96,R16,Canada v Ghana,Canada
97,QF,Norway v Spain,Norway
98,QF,Saudi Arabia v Belgium,Saudi Arabia
99,QF,Netherlands v Portugal,Netherlands
100,QF,Sweden v Canada,Canada
101,SF,Norway v Saudi Arabia,Norway
102,SF,Netherlands v Canada,Canada
103,3rd,Saudi Arabia v Netherlands,Netherlands
104,Final,Norway v Canada,Norway
