match,round,matchup,pick
73,R32,Brazil v Morocco,Brazil
74,R32,France v Norway,Norway
75,R32,Spain v Ecuador,Ecuador
76,R32,Germany v Switzerland,Germany
77,R32,Argentina v Mexico,Argentina
78,R32,Netherlands v Senegal,Netherlands
79,R32,England v Ivory Coast,Ivory Coast
80,R32,Portugal v Colombia,Portugal
81,R32,Belgium v United States,Belgium
82,R32,Croatia v Japan,Japan
83,R32,South Korea v Saudi Arabia,South Korea
84,R32,Uruguay v Egypt,Uruguay
85,R32,Turkey v Canada,Canada
86,R32,Austria v Sweden,Sweden
87,R32,Tunisia v Ghana,Ghana
88,R32,Panama v Australia,Australia
89,R16,Norway v Argentina,Norway
90,R16,Brazil v Ecuador,Brazil
91,R16,Germany v Netherlands,Germany
92,R16,Ivory Coast v Portugal,Portugal
93,R16,South Korea v Uruguay,Uruguay
94,R16,Belgium v Japan,Japan
95,R16,Sweden v Australia,Australia
96,R16,Canada v Ghana,Ghana
97,QF,Norway v Brazil,Norway
98,QF,Uruguay v Japan,Japan
99,QF,Germany v Portugal,Portugal
100,QF,Australia v Ghana,Ghana
101,SF,Norway v Japan,Japan
102,SF,Portugal v Ghana,Ghana
103,3rd,Norway v Portugal,Portugal
104,Final,Japan v Ghana,Ghana
